Layer,Weights
conv2d,-0.09907603
conv2d,-0.012840907
conv2d,-0.05680208
conv2d,0.07548015
conv2d,0.14528844
conv2d,0.31713548
conv2d,0.08780719
conv2d,0.056968734
conv2d,0.03079549
conv2d,-0.1465842
conv2d,-0.13896362
conv2d,0.047225904
conv2d,0.16590299
conv2d,0.1432548
conv2d,-0.108624555
conv2d,-0.21084805
conv2d,0.088518806
conv2d,-0.08666654
conv2d,-0.19107515
conv2d,0.29371342
conv2d,-0.11865744
conv2d,0.044843964
conv2d,0.1721097
conv2d,-0.24277839
conv2d,0.14228174
conv2d,-0.042505
conv2d,-0.20391141
conv2d,-0.19901162
conv2d,-0.2294394
conv2d,0.13544019
conv2d,0.1083079
conv2d,-0.03397318
conv2d,0.0011595206
conv2d,0.16468284
conv2d,0.06775779
conv2d,0.0539189
conv2d,-0.026123807
conv2d,0.22184604
conv2d,0.12733026
conv2d,-0.075582296
conv2d,0.14897901
conv2d,0.02992903
conv2d,0.141966
conv2d,0.19175547
conv2d,-0.059841525
conv2d,-0.13403574
conv2d,-0.10107604
conv2d,-0.17231627
conv2d,-0.07791803
conv2d,-0.037081722
conv2d,0.016946096
conv2d,0.017298581
conv2d,0.16092417
conv2d,-0.019601634
conv2d,0.105956234
conv2d,0.036392204
conv2d,0.010593309
conv2d,-0.0026293804
conv2d,-0.110147424
conv2d,-0.042881377
conv2d,0.076066665
conv2d,-0.12316671
conv2d,0.07298255
conv2d,0.13809785
conv2d,0.0761423
conv2d,-0.16076314
conv2d,-0.21988572
conv2d,0.24891686
conv2d,0.042209752
conv2d,0.31497929
conv2d,0.14753327
conv2d,-0.07220298
conv2d,0.074696675
conv2d,0.14572604
conv2d,0.017704977
conv2d,-0.09002435
conv2d,-0.22101517
conv2d,-0.15050898
conv2d,-0.03451153
conv2d,-0.08285102
conv2d,-0.24079777
conv2d,0.14738818
conv2d,-0.22147116
conv2d,-0.14134136
conv2d,0.159848
conv2d,0.13666914
conv2d,-0.029981628
conv2d,-0.008713579
conv2d,0.111239895
conv2d,0.051630694
conv2d,-0.07471954
conv2d,0.20732805
conv2d,0.19527033
conv2d,0.058116253
conv2d,-0.1616009
conv2d,-0.082654044
conv2d,0.018600727
conv2d,-0.21849112
conv2d,0.064816
conv2d,0.15243158
conv2d,-0.106985494
conv2d,0.11523373
conv2d,-0.09155195
conv2d,-0.124876305
conv2d,0.03252162
conv2d,0.26115054
conv2d,0.0739275
conv2d,0.115415685
conv2d,0.1112303
conv2d,0.09693333
conv2d,0.06839203
conv2d,0.0049593486
conv2d,0.14029038
conv2d,0.1839641
conv2d,-0.23996393
conv2d,-0.09691009
conv2d,-0.14130798
conv2d,0.13165647
conv2d,0.18231748
conv2d,-0.027403954
conv2d,0.05669464
conv2d,0.28792185
conv2d,0.016036794
conv2d,0.056784548
conv2d,-0.080517486
conv2d,0.06597395
conv2d,0.038910687
conv2d,-0.14076175
conv2d,-0.22948883
conv2d,0.17794825
conv2d,-0.12123894
conv2d,-0.22386868
conv2d,0.07177824
conv2d,-0.019488733
conv2d,0.11873676
conv2d,-0.15022674
conv2d,-0.16593008
conv2d,0.11923421
conv2d,-0.19006628
conv2d,0.148423
conv2d,0.05988395
conv2d,-0.14424558
conv2d,-0.16640466
conv2d,-0.09498886
conv2d,0.045197096
conv2d,-0.053828306
conv2d,0.12202793
conv2d,-0.09507088
conv2d,0.11553156
conv2d,0.12517577
conv2d,-0.20273525
conv2d,-0.17837326
conv2d,-0.14140138
conv2d,-0.15160437
conv2d,-0.09362759
conv2d,0.03750665
conv2d,0.05679163
conv2d,-0.19443893
conv2d,-0.09975928
conv2d,-0.1044751
conv2d,-0.18497878
conv2d,-0.02468665
conv2d,0.028429694
conv2d,0.07665495
conv2d,-0.10253219
conv2d,0.1462606
conv2d,-0.13627774
conv2d,0.13029091
conv2d,-0.13270757
conv2d,0.025460888
conv2d,-0.0090991715
conv2d,-0.011121926
conv2d,0.07240614
conv2d,-0.16312952
conv2d,0.100099355
conv2d,-0.10746531
conv2d,-0.110645376
conv2d,-0.11851861
conv2d,0.09237645
conv2d,-0.0055046016
conv2d,-0.089276224
conv2d,0.09733864
conv2d,-0.072861955
conv2d,-0.012850427
conv2d,0.033102915
conv2d,-0.14821921
conv2d,-0.020843625
conv2d,0.2034654
conv2d,0.09788056
conv2d,-0.17173332
conv2d,-0.16887137
conv2d,-0.15971501
conv2d,-0.18138906
conv2d,-0.12945904
conv2d,0.017041693
conv2d,-0.11270099
conv2d,0.2015281
conv2d,0.1823583
conv2d,-0.1921425
conv2d,-0.014473156
conv2d,-0.051437482
conv2d,-0.13048117
conv2d,-0.18869789
conv2d,0.091984324
conv2d,0.09318749
conv2d,-0.21038947
conv2d,0.06556586
conv2d,-0.06922049
conv2d,-0.08763185
conv2d,-0.1642998
conv2d,0.07593094
conv2d,0.2225384
conv2d,-0.2655969
conv2d,-0.026512478
conv2d,-0.064764895
conv2d,-0.025212558
conv2d,-0.033717517
conv2d,0.007034705
conv2d,-0.11052322
conv2d,-0.16688263
conv2d,-0.21588054
conv2d,0.040428896
conv2d,-0.079425946
conv2d,-0.050641496
conv2d,-0.076730475
conv2d,0.08944903
conv2d,0.02271213
conv2d,0.095936924
conv2d,0.037889436
conv2d,0.025402604
conv2d,-0.18083993
conv2d,-0.04291471
conv2d,0.017175324
conv2d,-0.18632962
conv2d,0.07141543
conv2d,0.1201848
conv2d,-0.0033532528
conv2d,0.12662831
conv2d,-0.28713632
conv2d,0.16091037
conv2d,-0.12320031
conv2d,-0.006174213
conv2d,-0.21008444
conv2d,0.03430037
conv2d,0.070680365
conv2d,0.03662105
conv2d,0.17423965
conv2d,-0.05310755
conv2d,-0.19664241
conv2d,0.06895005
conv2d,-0.1012507
conv2d,-0.16494144
conv2d,0.12505893
conv2d,-0.032610074
conv2d,0.19966963
conv2d,-0.07416615
conv2d,-0.020228373
conv2d,-0.010090677
conv2d,0.063824736
conv2d,-0.009612286
conv2d,-0.016758436
conv2d,0.014189807
conv2d,0.2049153
conv2d,-0.0025163516
conv2d,-0.009099904
conv2d,-0.0138616115
conv2d,-0.2174729
conv2d,0.06829811
conv2d,-0.13394377
conv2d,0.07974456
conv2d,-0.037457127
conv2d,-0.15062213
conv2d,-0.24225189
conv2d,0.09201478
conv2d,0.035338283
conv2d,-0.2621001
conv2d,0.068391845
conv2d,0.11388421
conv2d,0.09460318
conv2d,0.052517064
conv2d,-0.05553188
conv2d,0.18357123
conv2d,-0.19743212
conv2d,0.12011352
conv2d,-0.13371946
conv2d,-0.1699885
conv2d,-0.025325827
conv2d,-0.06390279
conv2d,0.08980271
conv2d,-0.2025839
conv2d,0.18839043
conv2d,0.18615292
conv2d,0.19580281
conv2d,-0.20630386
conv2d,-0.2092566
conv2d,-0.029984774
conv2d,0.0819261
conv2d,-0.12065529
conv2d,0.18856806
conv2d,-0.028846845
conv2d,0.053398658
conv2d,0.015468298
conv2d,-0.060647216
conv2d,-0.061715998
conv2d,-0.1517029
conv2d,0.06974847
conv2d,0.044671398
conv2d,0.098561384
conv2d,-0.12264603
conv2d,-0.31942722
conv2d,0.16327845
conv2d,-0.1391944
conv2d,-0.17275421
conv2d,-0.20763785
conv2d,-0.09044211
conv2d,-0.023838963
conv2d,0.10321519
conv2d,-0.05227345
conv2d,-0.078615144
conv2d,0.14961478
conv2d,0.038243562
conv2d,0.04742787
conv2d,-0.043357447
conv2d,0.1122878
conv2d,-0.12761743
conv2d,-0.03879545
conv2d,-0.15352602
conv2d,0.1649713
conv2d,0.1221547
conv2d,-0.19232962
conv2d,-0.17473434
conv2d,0.18981782
conv2d,0.06521585
conv2d,-0.19488804
conv2d,-0.33601204
conv2d,-0.067761526
conv2d,-0.076645404
conv2d,-0.16691609
conv2d,-0.13075885
conv2d,-0.14669976
conv2d,0.2303188
conv2d,-0.14450532
conv2d,-0.025624575
conv2d,-0.23963098
conv2d,0.14453469
conv2d,-0.041641142
conv2d,-0.07098148
conv2d,-0.07319811
conv2d,-0.012767703
conv2d,0.004650942
conv2d,0.12731622
