,0
0,1
1,0
2,1
3,1
4,1
5,0
6,1
7,0
8,0
9,1
10,1
11,1
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,1
22,1
23,1
24,0
25,0
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,0
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,0
45,0
46,1
47,0
48,1
49,0
50,0
51,1
52,0
53,1
54,0
55,0
56,0
57,1
58,1
59,1
60,1
61,1
62,1
63,0
64,0
65,1
66,1
67,0
68,0
69,1
70,1
71,0
72,1
73,1
74,0
75,1
76,1
77,1
78,0
79,0
80,1
81,1
82,1
83,1
84,0
85,1
86,1
87,0
88,1
89,1
90,0
91,1
92,0
93,0
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,0
103,1
104,1
105,0
106,0
107,1
108,0
109,1
110,0
111,1
112,1
113,0
114,1
115,0
116,1
117,0
118,0
119,0
120,0
121,1
122,1
123,0
124,1
125,1
126,1
127,0
128,1
129,1
130,0
131,1
132,0
133,1
134,1
135,0
136,1
137,1
138,1
139,0
140,1
141,1
142,1
143,0
144,0
145,0
146,1
147,0
148,0
149,1
150,1
151,1
152,0
153,0
154,1
155,1
156,1
157,0
158,0
159,0
160,1
161,1
162,0
163,1
164,0
165,0
166,1
167,0
168,1
169,0
170,1
171,1
172,1
173,0
174,0
175,1
176,1
177,0
178,1
179,0
180,0
181,0
182,1
183,0
184,1
185,1
186,1
187,0
188,1
189,1
190,0
191,1
192,1
193,1
194,0
195,1
196,0
197,1
198,1
199,1
200,0
201,1
202,1
203,0
204,1
205,1
206,0
207,0
208,1
209,1
210,0
211,0
212,1
213,1
214,1
215,0
216,1
217,1
218,1
219,0
220,1
221,1
222,0
223,1
224,0
225,0
226,0
227,1
228,1
229,1
230,0
231,1
232,0
233,1
234,1
235,1
236,1
237,1
238,0
239,1
240,1
241,1
242,0
243,1
244,0
245,1
246,1
247,1
248,1
249,1
250,0
251,1
252,1
253,0
254,0
255,1
256,0
257,0
258,1
259,1
260,0
261,1
262,0
263,1
264,0
265,0
266,1
267,1
268,1
269,1
270,0
271,1
272,1
273,0
274,0
275,1
276,1
277,0
278,1
279,1
280,1
281,0
282,0
283,1
284,1
285,0
286,1
287,0
288,1
289,0
290,1
291,1
292,1
293,0
294,0
295,0
296,0
297,1
298,0
299,0
300,1
301,1
302,0
303,0
304,0
305,0
306,1
307,1
308,1
309,1
310,1
311,0
312,0
313,1
314,1
315,0
316,1
317,1
318,1
319,1
320,0
321,0
322,1
323,1
324,1
325,0
326,1
327,0
328,0
329,1
330,1
331,1
332,1
333,0
334,0
335,1
336,1
337,0
338,0
339,0
340,0
341,0
342,0
343,1
344,0
345,0
346,0
347,0
348,1
349,0
350,0
351,1
352,0
353,1
354,1
355,1
356,0
357,1
358,0
359,0
360,1
361,1
362,0
363,0
364,0
365,1
366,0
367,1
368,1
369,1
370,1
371,0
372,1
373,1
374,0
375,1
376,0
377,1
378,1
379,1
380,1
381,0
382,1
383,1
384,1
385,1
386,1
387,1
388,0
389,1
390,1
391,0
392,1
393,1
394,0
395,1
396,0
397,1
398,0
399,1
400,0
401,1
402,1
403,1
404,0
405,1
406,0
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,0
415,1
416,1
417,0
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,0
426,0
427,1
428,0
429,1
430,1
431,1
432,0
433,1
434,0
435,1
436,0
437,1
438,1
439,0
440,1
441,0
442,1
443,1
444,1
445,1
446,1
447,0
448,1
449,1
450,1
451,1
452,1
453,0
454,1
455,1
456,0
457,1
458,1
459,1
460,0
461,0
462,1
463,1
464,0
465,1
466,1
467,1
468,0
469,1
470,0
471,1
472,0
473,0
474,1
475,1
476,0
477,1
478,1
479,1
480,0
481,1
482,1
483,0
484,1
485,0
486,0
487,0
488,1
489,1
490,1
491,0
492,0
493,1
494,0
495,0
496,1
497,1
498,0
499,0
500,1
501,1
502,1
503,0
504,1
505,0
506,0
507,1
508,1
509,1
510,1
511,1
512,0
513,0
514,0
515,1
516,1
517,1
518,0
519,1
520,0
521,0
522,1
523,0
524,1
525,1
526,0
527,1
528,0
529,0
530,1
531,0
532,1
533,1
534,1
535,0
536,0
537,1
538,1
539,1
540,0
541,1
542,1
543,0
544,1
545,1
546,1
547,1
548,0
549,1
550,1
551,1
552,0
553,1
554,1
555,1
556,0
557,0
558,1
559,1
560,1
561,1
562,1
563,1
564,0
565,1
566,0
567,1
568,1
569,1
570,1
571,1
572,0
573,0
574,0
575,1
576,1
577,1
578,1
579,1
580,0
581,1
582,1
583,1
584,0
585,1
586,1
587,1
588,1
589,0
590,1
591,1
592,0
593,1
594,0
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,0
604,0
605,1
606,0
607,0
608,1
609,1
610,1
611,0
612,1
613,1
614,0
615,0
616,1
617,0
618,1
619,0
620,1
621,1
622,1
623,1
624,1
625,1
626,0
627,0
628,0
629,1
630,1
631,0
632,1
633,1
634,1
635,1
636,0
637,0
638,1
639,1
640,1
641,1
642,1
643,1
644,0
645,1
646,1
647,0
648,0
649,1
650,0
651,1
652,1
653,0
654,0
655,0
656,0
657,1
658,1
659,0
660,1
661,0
662,0
663,1
664,1
665,1
666,0
667,1
668,0
669,1
670,1
671,1
672,1
673,0
674,0
675,1
676,1
677,0
678,1
679,1
680,1
681,1
682,0
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,0
695,0
696,1
697,1
698,0
699,1
700,1
701,1
702,1
703,1
704,1
705,0
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,0
720,1
721,0
722,1
723,1
724,1
725,0
726,0
727,1
728,0
729,1
730,1
731,0
732,0
733,0
734,1
735,1
736,1
737,0
738,1
739,0
740,0
741,1
742,1
743,0
744,0
745,1
746,1
747,1
748,1
749,1
750,0
751,1
752,1
753,1
754,1
755,1
756,0
757,0
758,1
759,1
760,1
761,1
762,1
763,0
764,1
765,0
766,0
767,0
768,1
769,1
770,0
771,1
772,0
773,0
774,0
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,0
784,1
785,1
786,1
787,0
788,1
789,0
790,0
791,0
792,0
793,1
794,0
795,1
796,1
797,1
798,0
799,0
800,0
801,0
802,1
803,1
804,1
805,1
806,1
807,0
808,1
809,1
810,1
811,1
812,0
813,1
814,1
815,1
816,1
817,0
818,0
819,1
820,1
821,0
822,0
823,0
824,0
825,1
826,1
827,0
828,1
829,1
830,1
831,0
832,1
833,1
834,1
835,1
836,1
837,1
838,1
839,1
840,0
841,1
842,1
843,1
844,1
845,0
846,1
847,1
848,1
849,1
850,0
851,1
852,1
853,1
854,1
855,1
856,0
857,1
858,0
859,0
860,1
861,1
862,0
863,0
864,1
865,1
866,0
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,1
875,1
876,0
877,0
878,0
879,1
880,1
881,1
882,1
883,0
884,0
885,0
886,1
887,1
888,1
889,0
890,0
891,1
892,0
893,1
894,0
895,1
896,1
897,0
898,1
899,0
900,1
901,1
902,0
903,0
904,1
905,1
906,1
907,1
908,1
909,1
910,0
911,0
912,0
913,0
914,0
915,1
916,1
917,1
918,0
919,1
920,0
921,0
922,0
923,0
924,0
925,0
926,1
927,1
928,0
929,1
930,1
931,1
932,1
933,0
934,1
935,1
936,1
937,1
938,1
939,1
940,0
941,1
942,1
943,0
944,1
945,1
946,0
947,1
948,1
949,0
950,1
951,1
952,0
953,1
954,1
955,1
956,1
957,0
958,1
959,0
960,1
961,1
962,1
963,0
964,1
965,1
966,1
967,1
968,1
969,1
970,1
971,0
972,1
973,0
974,1
975,1
976,0
977,1
978,1
979,1
980,1
981,1
982,1
983,0
984,1
985,1
986,1
987,1
988,0
989,0
990,0
991,1
992,0
993,1
994,0
995,0
996,0
997,0
998,1
999,1
1000,0
1001,1
1002,0
1003,1
1004,0
1005,1
1006,1
1007,0
1008,1
1009,1
1010,0
1011,0
1012,0
1013,1
1014,0
1015,1
1016,0
1017,1
1018,0
1019,1
1020,1
1021,1
1022,0
1023,0
1024,1
1025,0
1026,0
1027,1
1028,0
1029,1
1030,0
1031,0
1032,0
1033,1
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,0
1042,1
1043,1
1044,0
1045,1
1046,1
1047,0
1048,0
1049,0
1050,1
1051,0
1052,1
1053,1
1054,1
1055,1
1056,1
1057,0
1058,1
1059,1
1060,1
1061,1
1062,0
1063,1
1064,1
1065,0
1066,1
1067,1
1068,0
1069,1
1070,0
1071,1
1072,0
1073,1
1074,1
1075,0
1076,1
1077,0
1078,0
1079,0
1080,1
1081,0
1082,1
1083,1
1084,0
1085,0
1086,1
1087,1
1088,1
1089,0
1090,1
1091,1
1092,1
1093,1
1094,1
1095,1
1096,1
1097,0
1098,1
1099,1
1100,1
1101,0
1102,1
1103,0
1104,1
1105,1
1106,1
1107,1
1108,1
1109,0
1110,1
1111,1
1112,0
1113,1
1114,1
1115,0
1116,1
1117,1
1118,1
1119,1
1120,1
1121,1
1122,0
1123,1
1124,1
1125,1
1126,0
1127,0
1128,0
1129,1
1130,1
1131,1
1132,0
1133,1
1134,1
1135,1
1136,1
1137,1
1138,0
1139,0
1140,1
1141,1
1142,1
1143,0
1144,1
1145,0
1146,1
1147,1
1148,0
1149,0
1150,0
1151,0
1152,1
1153,1
1154,0
1155,0
1156,1
1157,0
1158,0
1159,1
1160,1
1161,0
1162,1
1163,1
1164,0
1165,0
1166,0
1167,0
1168,1
1169,1
1170,1
1171,1
1172,1
1173,1
1174,1
1175,0
1176,1
1177,1
1178,0
1179,1
1180,1
1181,1
1182,1
1183,0
1184,0
1185,1
1186,1
1187,1
1188,1
1189,1
1190,1
1191,1
1192,0
1193,0
1194,0
1195,1
1196,0
1197,1
1198,1
1199,0
1200,1
1201,0
1202,1
1203,0
1204,1
1205,0
1206,1
1207,0
1208,1
1209,0
1210,1
1211,1
1212,1
1213,1
1214,1
1215,1
1216,0
1217,1
1218,1
1219,0
1220,1
1221,0
1222,0
1223,0
1224,0
1225,1
1226,0
1227,1
1228,0
1229,0
1230,1
